발화/행위 내용,관계쌍,관계온도변화,긴장도,노션URL,반응·행동,반응자,발화동기/맥락,발화자,비고,서사기능,섹스분류,순서번호,시간대,씬연결,장소,카테고리,파트코드,행위유형
그게 동의의 대가예요. 동의하지 않은 사람을 보호하기 위해 동의를 무시하면 그건 보호가 아니라 통제예요. Layer 2를 끈 유저에게는 수동적 안전장치를 제공해요 — '이 내용이 불편할 수 있습니다. 언제든 멈출 수 있습니다. 도움이 필요하면 여기를 누르세요.' 이 세 문장.,마를렌×레일라,→유지,5,,동의의 대가 원칙 선언 + 수동 안전장치 3문장 설계,레일라,마를렌이 Layer 2 거부 유저에 대한 수동 보호 3문장 해법 제시. 복수 레코드에 유사 내용 중복 여부 확인 필요.,마를렌,,해소,,5008,저녁_파티초반,,스위트룸_거실_소파중앙,"비즈니스, 연구/학술",SR_005,발화
"텍스트 감정 분석은 70~75% 정확도예요. 위기 상황에서 쓰기엔 부족하죠. 근데 텍스트만 쓸 필요 없어요. 행동 시그널을 같이 읽으면 돼요 — 화면 체류 시간, 스크롤 속도, 터치 패턴, 앱 이탈 시점. 유저가 기원 스토리 보다가 3분간 아무것도 안 누르면 freeze 반응일 수 있어요.",카이×마를렌,,,,텍스트 정확도 한계 인정 + 행동 시그널 멀티모달 감지 제안,마를렌,,카이,,,,5004,,,,"비즈니스, 연구/학술",SR_005,발화
"...회의실에서는 안 나왔을 거예요. 이건. (와인잔을 조용히 돌리며, 대표님 쪽을 보지 않고. 목소리에 확신이 담겼다.)",사빈×Ax,,,,베스의 정리에 조용한 확신으로 마침표,Ax,,사빈,,,,5018,,,,"감정고백, 관계역학",SR_005,복합
...마케터가 그걸 잡아내네요.,마를렌×레오,,,,레오의 포착 능력에 의외감 표현,레오,,마를렌,,,,5015,,,,관계역학,SR_005,발화
"나는 지금 마케터로서 머리가 터질 것 같아. 여러분이 하는 대화가 그대로 콘텐츠예요. '보호하기 위해 동의를 깨다면 그건 보호가 아니다' — 이 한 줄이 유튜브 썸네일이에요. 마를렌씨, '동의의 대가'라고 하셨잖아요. 그 표현 — 그대로 에피소드 제목이에요.",레오×마를렌,↑상승,4,,대화 자체를 콘텐츠로 인식 + '동의의 대가' 에피소드 제목 제안,마를렌,레오가 '동의의 대가' 돌파 개념으로 편환 제안. 마를렌의 언어를 콘텐츠 에피소드 제목으로 재평가.,레오,,전환,,5014,저녁_파티초반,,스위트룸_거실_소파중앙,비즈니스,SR_005,발화
"나디아씨, 그 연구 설계 — 제가 같이 해도 돼요?",데이빗×나디아,,,,공동 연구 참여 요청,나디아,,데이빗,,,,5012,,,,"관계역학, 연구/학술",SR_005,발화
레이어드 동의. 어제 VR-CPF에서 설계한 거예요. Layer 1: 기본 기능 동의. Layer 2: 행동 분석 동의. Layer 3: 위기 감지 동의. 각 레이어를 유저가 개별적으로 켜고 끌 수 있어야 해요.,세바스찬×데이빗,↑상승,4,,레이어드 동의 구조 제안 (3단계 옵트인),데이빗,레이어드 동의 3단계 구조 제안 (복수 레코드로 입력됨 중복 확인필요).,세바스찬,,해소,,5006,저녁_파티초반,,스위트룸_거실_소파중앙,비즈니스,SR_005,발화
"맞는데 — 조심해야 할 게 있어요. IFS에서 파트 분리 작업은 치료사가 내담자의 감정 상태를 실시간으로 읽으면서 해요. AI가 그 판단을 할 수 있느냐는 — 아직 증명 안 됐어요. Kai씨, 솔직하게. AI 체크인이 텍스트 기반으로 감정 상태를 얼마나 정확하게 읽을 수 있어요?",나디아×카이,,,,IFS 민주화의 한계 — AI 판단력 미증명 지적 + 정확도 질문,카이,,나디아,,,,5003,,,,"비즈니스, 연구/학술",SR_005,발화
"마를렌씨, 좋은 마케터는 좋은 이야기를 알아보는 사람이에요. 지금 이 방에서 나오는 이야기는 Nike에서 6년, Bumble에서 3년 동안 본 어떤 브랜드 서사보다 강해요. 왜냐면 이건 만든 이야기가 아니라 진짜 이야기니까.",레오×마를렌,,,,마케터의 이야기 감지 능력 설명 + 진짜 이야기의 힘 선언,마를렌,,레오,,,,5016,,,,"감정고백, 비즈니스",SR_005,발화
"마를렌 말이 맞아요. 서양에서는 '내 데이터를 분석해줘'가 자연스럽지만, 중동이나 동아시아에서는 '내 행동을 누가 보고 있다'는 것 자체가 거부 반응이에요. Layer 2 동의율이 문화권마다 크게 다를 거예요. 수동적 안전장치가 디폴트여야 하고, 능동 감지는 옵트인이어야 해요.",레일라×나디아,,,,문화권별 동의율 차이 — 수동 안전장치 디폴트 근거 제시,나디아,,레일라,,,,5009,,,,"비즈니스, 연구/학술",SR_005,발화
Layer 2를 끈 유저가 기원 스토리에서 freeze 반응을 보이면? 행동 시그널을 못 읽으니까 체크인도 안 뜨는 거잖아요. 그 유저를 놓치는 거예요.,데이빗×마를렌,,,,동의 거부 유저의 안전망 공백 문제 제기,마를렌,,데이빗,,,,5007,,,,"갈등/긴장, 비즈니스",SR_005,발화
(대표님의 혼잣말. 아무도 못 들은 것처럼 보인다. 대화가 제 궤도를 따라 흘러간다.),Ax×전원,,,,혼잣말 — 아무도 듣지 못한 것처럼,전원,,Ax,,,,5001,,,,관계역학,SR_005,복합
환영이에요. MIT 박사가 붙어주면 리뷰어가 좀 덜 무서울 테니까. (처음으로 진짜 웃는다),나디아×데이빗,,,,공동 연구 수락 + 첫 진짜 웃음,데이빗,,나디아,,,,5013,,,,"관계역학, 연구/학술",SR_005,복합
M43에서 이 두 가지를 비교 연구할 수 있어요. 능동 감지 그룹 vs 수동 안전장치만 있는 그룹의 위기 반응 차이. 이게 이자벨이 말한 '매뉴얼화'의 실제 과정이야. IFS가 못 한 걸 데이터로 하는 거.,나디아×이자벨,↑상승,4,,능동 감지 vs 수동 안전장치 비교 연구 설계 제안,이자벨,나디아가 두 그룹 비교 연구 설계 제안. M43 데이터를 학술 논문으로 연결하는 구조.,나디아,,전환,,5010,저녁_파티초반,,스위트룸_거실_라운지체어,연구/학술,SR_005,발화
맞아. 이 데이터가 나오면 학계에 던질 수 있어요. '디지털 파트 워크의 안전성: 능동 감지 vs 수동 안전장치의 비교 연구.' Nature Digital Medicine에 실릴 수 있는 논문이에요.,이자벨×데이빗,,,,Nature Digital Medicine 논문 가능성 제시,데이빗,,이자벨,,,,5011,,,,연구/학술,SR_005,발화
"Kai씨 — 그거 좋은데, 동시에 무서워요. 행동 시그널로 감정을 추론한다는 건 유저가 자기도 모르는 사이에 감시당하고 있다는 뜻이에요. '당신의 터치 패턴을 분석해서 감정 상태를 추론하고 있습니다' — 이걸 유저가 알고 동의해야 해요. 안 그러면 케어 도구가 아니라 감시 도구가 돼요.",마를렌×세바스찬,,,,행동 감지 = 잠재적 감시 위험 경고 + 동의 필요성 제기,세바스찬,,마를렌,,,,5005,,,,"갈등/긴장, 연구/학술",SR_005,발화
카이씨가 '가면을 옆에 놓는다'고 했잖아요. 그거 IFS에서 하는 거랑 구조가 같아요. IFS에서 내담자에게 '그 파트를 옆 의자에 앉혀보세요'라고 해요. 근데 IFS는 상담실에서만 가능한 작업이에요. 카이씨가 말한 건 그걸 프로덕트로 민주화시키는 거예요.,이자벨×나디아,,,,IFS 파트 워크 ↔ 카이 UX 구조 동일성 지적 + 민주화 개념 도입,나디아,,이자벨,,,,5002,,,,"비즈니스, 연구/학술",SR_005,발화
"좋아, 전원 한 잔씩. 제가 만들게요. 나디아씨, 아까 그거 뭐였어요? 진토닉?",레오×나디아,,,,칵테일 제조 자원 + 분위기 전환,나디아,,레오,,,,7004,,,,유머/일상,SR_007,발화
"레오, 나 맥주 말고 다른 거 하나 만들어줘. 오늘은 좀 다른 걸 마시고 싶어.",카이×레오,,,,단골 메뉴 이탈 — 변화 욕구 표현,레오,,카이,,,,7006,,,,"관계역학, 유머/일상",SR_007,발화
"......있어요. 한 유저가 6개월 동안 매일 같은 프로필을 방문했어요. 메시지는 한 번도 안 보내고. 팀에서는 스토킹 패턴으로 분류하려 했는데 — 사망한 계정이었어요. 누군가가 죽은 사람의 프로필을 매일 보러 오고 있었어요. 데이터에서 그건 '이상 접속 패턴'이었어요. 근데 실제로는 — 애도였어요. 숫자는 '무엇'을 보여주지만, 숫자 뒤에 있는 건 — 사람이라고.",데이빗×이자벨,↑상승,5,,사망 계정 매일 방문 유저 — '이상 패턴'이 애도였음,이자벨,데이비드가 마를렌 질문에 사망한 계정 애도 에피소드 고백. '데이터 뒤에 사람이 있다'는 각성 순간.,데이빗,,폭로,,7020,저녁_파티중반,,스위트룸_거실_라운지체어,"감정고백, 연구/학술",SR_007,발화
"(위스키잔을 비우고, 처음으로 넥타이를 푼다. 방 안의 몇 명이 그 동작을 본다. 세바스찬이 넥타이를 푸는 건 이 방의 누구도 본 적 없다.) ......위스키 한 잔 더. 올드 패션드 두 잔 만들어. 카이 거랑 내 거.",세바스찬×레오,,,,넥타이 푸는 상징적 행동 — 첫 이완,레오,,세바스찬,,,,7008,,,,"관계역학, 유머/일상",SR_007,복합
......2주가 한 사람을 살렸네요.,카이×마를렌,,,,마를렌 이야기에 낮은 목소리로 반응,마를렌,,카이,,,,7016,,,,"감정고백, 관계역학",SR_007,발화
"네, 근데 — 라임 많이요. (평소의 단호한 톤이 아니라, 살짝 풀린 목소리)",나디아×레오,,,,평소보다 풀린 목소리 — 가면 조금 내려감,레오,,나디아,,,,7005,,,,"관계역학, 유머/일상",SR_007,복합
카이. 아까 여자친구랑 헤어지고 플레이리스트를 못 들었다고 했잖아. 지금은 — 들을 수 있어?,데이빗×카이,↑상승,4,,[데이빗→카이] 플레이리스트 질문,카이,데이비드가 카이에게 핀리스트 질문. 에마시없는 개인적 영역으로의 진입.,데이빗,,전환,,7023,저녁_파티중반,,스위트룸_거실_바닥,"감정고백, 관계역학",SR_007,발화
......그게 엘린의 D8이에요. 해체 & 상실. 우리 연구에 그 유저 같은 사람이 올 거예요. 그 사람에게 우리가 뭘 줄 수 있느냐가 — D8의 존재 이유예요.,이자벨×레일라,,,,데이빗 이야기를 D8 연구로 연결,레일라,,이자벨,,,,7021,,,,"감정고백, 연구/학술",SR_007,발화
마를렌씨. 10년간 늦게 도착했다고 하셨잖아요. 그 10년 동안 — 가장 일찍 도착한 적이 있어요? 딱 한 번이라도.,사빈×마를렌,,,,[사빈→마를렌] 일찍 도착한 순간 질문,마를렌,,사빈,,,,7014,,,,"관계역학, 연구/학술",SR_007,발화
그래서 — 교수님의 모델이 필요한 거예요. 내가 일찍 도착한 건 운이었어요. 상담사의 감이었지 시스템이 아니었어요. '당신의 괜찮음 가면이 3주째 100%입니다. 괜찮아요?' — 이 한 줄이 떴다면. 내가 아니라 앱이 일찍 도착했을 거예요.,마를렌×나디아,,,,운이 아닌 구조로 일찍 도착하는 시스템 필요성,나디아,,마를렌,,,,7017,,,,"비즈니스, 연구/학술",SR_007,발화
"David씨. 그 수억 명 중에 한 명이라도, 숫자가 아니라 사람으로 기억나는 사람이 있어요?",마를렌×데이빗,,,,[마를렌→데이빗] 수억 명 중 기억나는 한 사람 질문,데이빗,,마를렌,,,,7019,,,,관계역학,SR_007,발화
"......아무도 그걸 물어본 적 없어요. 런던에 자주 가는 서점이 있어요. Daunt Books. 토요일 오후에 거기 가서 — 아무 책이나 집어들고 — 2시간 동안 아무도 저를 필요로 하지 않는 시간. 그 2시간이 — 제가 가면을 벗는 시간이에요. COO도 아니고, 그냥 책 읽는 여자. 그래서 뭘 원하느냐고 물으면 — 그 2시간이 좀 더 길었으면 좋겠어요.",사빈×베스,↑상승,5,,Daunt Books — 가면 벗는 2시간 고백,베스,사빈이 첫 질문에 Daunt Books 2시간을 고백. COO 가면 밖의 자신을 처음 공개.,사빈,,폭로,,7013,저녁_파티중반,,스위트룸_거실_라운지체어,"감정고백, 관계역학",SR_007,발화
한 번 있어요. 3년 전. 취리히에서. 18살짜리 여자애였어요. 상담사가 '아직 아무 일도 안 일어났는데 뭔가 이상하다'고 해서 만났어요. 한 시간 내내 웃고 있었어요. 슬픈 이야기를 할 때도. 그게 가면이었어요. '괜찮은 아이' 가면. '웃지 않아도 돼. 지금 진짜로 어때?' — 3초 멈추다가 울기 시작했어요. 제가 도착한 게 2주 일찍이었어요. 그 애가 이미 방법을 찾아보고 있었대요.,마를렌×전원,↑상승,5,,취리히 18살 — 2주 일찍 도착한 유일한 순간,전원,마를렌이 취리히 18살 답변. 10년 중 유일하게 2주 일싰 도착한 순간 고백.,마를렌,,폭로,,7015,저녁_파티중반,,스위트룸_거실_소파중앙,"감정고백, 연구/학술",SR_007,발화
"......며칠간 휴가요? (진짜로 놀란 표정. 클립보드를 탁자 위에 내려놓는 상징적 동작.) 알겠습니다, 대표님. (바로 가서 와인을 가득 따른다. 이번엔 반 잔이 아니라.)",사빈×Ax,,,,클립보드 내려놓음 + 와인 가득 따름,Ax,,사빈,,,,7003,,,,"관계역학, 유머/일상",SR_007,복합
"하나 제안해도 돼요? 밤이 기니까 — 한 사람씩, 질문 하나. 이 방에 있는 아무에게나. 직함이 아니라 사람에게 하는 질문. 안 대답해도 되고, 패스해도 되고.",레오×전원,,,,질문 라운드 제안,전원,,레오,,,,7011,,,,관계역학,SR_007,발화
레바논에서는 — 그런 사람이 너무 많아요. 페이스북 프로필이 묘비 대신인 사람들. 매일 가서 '보고 싶다'를 쓰는 어머니들. (침묵이 길다. 아무도 서두르지 않는다.),레일라×전원,,,,레바논 디지털 애도 문화 — 묘비 대신 프로필,전원,,레일라,,,,7022,,,,"감정고백, 관계역학",SR_007,발화
사빈. 시스템 밖에서 사빈은 뭘 원해? COO 사빈 말고. 42살 사빈 크로포드라는 사람은.,베스×사빈,↑상승,4,,[베스→사빈] 직함 뒤의 욕망 질문,사빈,베스가 사빈에게 직함 바깥의 소원을 묻는 첫 프라이빗 질문.,베스,,전환,,7012,저녁_파티중반,,스위트룸_거실_소파중앙,"감정고백, 관계역학",SR_007,발화
"카이씨 — 그 플레이리스트가 들리는 날이 오면, 그때 자원 배분이 바뀐 거예요.",나디아×카이,↑상승,4,,학자가 아닌 사람의 톤으로 — 자원 배분 회복 신호,카이,나디아가 카이의 핀리스트에 자원배분 회복의 지표로 활용. 카이가 '그날 알려줄게요'로 화답.,나디아,,해소,,7025,저녁_파티중반,,스위트룸_거실_바닥,"관계역학, 연구/학술",SR_007,발화
올드 패션드. 당신한테 어울려. 달콤한데 안에 독이 있는 거. / 그게 칭찬이야? / 최고의 칭찬이지.,레오×카이,↑상승,2,,칵테일로 카이 캐릭터 요약 + 칭찬,카이,레오가 카이에게 올드패셔드 추천. '달콤한데 안에 독이 있는 것' 최고의 칬찬 표현.,레오,,유머,,7007,저녁_파티중반,,스위트룸_거실_바,"관계역학, 유머/일상",SR_007,발화
......그 날이 오면 나디아씨한테 알려줄게요. (보조개 없이 웃는다. 입꼬리만 살짝.),카이×나디아,,,,보조개 없는 웃음 — 진짜 감정,나디아,,카이,,,,7026,,,,"감정고백, 관계역학",SR_007,복합
정전이 잦아서 — 반만 켜져 있어요. 반쪽짜리 야경. 근데 그 반쪽이 오히려 예뻐요. 어둠이 있어야 빛이 보이니까. / ......위기개입 전문가가 할 법한 말이네. / 당신 영역 훔쳤나?,레일라×마를렌,,,,베이루트 야경 은유 + 유머,마를렌,,레일라,,,,7010,,,,"관계역학, 유머/일상",SR_007,발화
그 한 줄을 만드는 게 — 우리 일이에요.,나디아×마를렌,,,,팀의 존재 이유 한 문장으로 정의,마를렌,,나디아,,,,7018,,,,"관계역학, 연구/학술",SR_007,발화
"......아직 못 들어요. 'For Kai When He's Coding Late' — 그 사람이 밤새 코딩할 때 들으라고 만들어준 거예요. 헤어진 이유가 제가 너무 코딩만 했기 때문이에요. 아이러니하죠. 그게 멀티페르소나 자원 배분 문제잖아요. 엔지니어 페르소나가 95%를 먹고, 연인 페르소나는 5%도 안 줬어요. 지금도 Spotify 라이브러리에 있어요. 삭제를 못 해요. 듣지도 못하고 지우지도 못하는 상태.",카이×나디아,,,,플레이리스트 이야기 — 자원 배분 실패 고백,나디아,,카이,,,,7024,,,,"감정고백, 연구/학술",SR_007,발화
"......예쁘네요, 여기. (창가로 가며, 레일라에게) 레일라, 베이루트 야경은 어때?",마를렌×레일라,,,,일상적 대화로 분위기 전환,레일라,,마를렌,,,,7009,,,,"관계역학, 유머/일상",SR_007,발화
레바논에서는 — 그런 사람이 너무 많아요. 페이스북 프로필이 묘비 대신인 사람들. 매일 가서 '보고 싶다'를 쓰는 어머니들.,레일라×전원,,,,레바논 페이스북 묘비 — 애도의 문화적 스케일,전원,,레일라,,,,7020,,,,"감정고백, 연구/학술",SR_007,발화
(눈물을 닦지 않는다.) ......그게 엘린의 D8이에요. 해체 & 상실. 우리 연구에 그 유저 같은 사람이 올 거예요. 매일 죽은 사람의 사진을 보러 오는 사람. 그 사람에게 우리가 뭘 줄 수 있느냐가 — D8의 존재 이유예요.,이자벨×전원,↑상승,5,,데이빗 이야기를 D8 연구로 연결,전원,이자벨이 데이비드 애도 에피소드를 D8 프레임으로 연결. 해체&상실의 실전적 의미 추출.,이자벨,,전환,,7019,저녁_파티중반,,스위트룸_거실_소파중앙,"감정고백, 연구/학술",SR_007,복합
사빈. 아까 '좋은 무대였다'고 했잖아. 근데 — 시스템 밖에서 사빈은 뭘 원해? COO 사빈 말고. 42살 사빈 크로포드라는 사람은.,베스×사빈,↑상승,4,,COO 너머의 사람으로서 사빈에게 질문,사빈,베스가 사빈에게 직함 바깥의 소원을 묻는 첫 프라이빗 질문 (복수 레코드 확인필요).,베스,,전환,,7011,저녁_파티중반,,스위트룸_거실_소파중앙,"관계역학, 심리/내면",SR_007,발화
"(창가에서 서울 야경 보며) ......예쁘네요, 여기. / 레일라: 정전이 잦아서 — 반만 켜져 있어요. 근데 그 반쪽이 오히려 예뻐요. 어둠이 있어야 빛이 보이니까. / 마를렌: ......위기개입 전문가가 할 법한 말이네. / 레일라: 당신 영역 훔쳤나?",마를렌×레일라,,,,베이루트 야경 대화 — 어둠이 있어야 빛,레일라,,마를렌,,,,7009,,,,"관계역학, 심리/내면",SR_007,발화
......있어요. Meta 내부 데이터 리뷰 중에 이상 패턴이 하나 잡혔어요. 한 유저가 6개월 동안 매일 같은 프로필을 방문하고 있었어요. 메시지는 한 번도 안 보내고. 그 프로필을 열어봤더니 — 사망한 계정이었어요. 누군가가 죽은 사람의 프로필을 매일 보러 오고 있었어요. 데이터에서 그건 '이상 접속 패턴'이었어요. 근데 실제로는 — 애도였어요.,데이빗×전원,↑상승,5,,Meta 죽은 계정 애도 패턴 — 숫자 뒤의 사람,전원,데이비드가 사망한 계정 애도 에피소드 고백 (복수 레코드 확인필요).,데이빗,,폭로,,7018,저녁_파티중반,,스위트룸_거실_라운지체어,"감정고백, 연구/학술",SR_007,발화
"하나 제안해도 돼요? 밤이 기니까 — 한 사람씩, 질문 하나. 이 방에 있는 아무에게나. 직함이 아니라 사람에게 하는 질문. 안 대답해도 되고. 패스해도 되고. 대표님이 듣고 싶다고 하셨으니까 — 들을 거리를 만들어 드리자고.",레오×전원,,,,질문라운드 제안 — 직함 아닌 사람에게,전원,,레오,,,,7010,,,,관계역학,SR_007,발화
......2주가 한 사람을 살렸네요.,카이×마를렌,,,,마를렌 이야기 반응 — 낮은 목소리,마를렌,,카이,,,,7015,,,,"감정고백, 관계역학",SR_007,발화
카이. 아까 여자친구랑 헤어지고 플레이리스트를 못 들었다고 했잖아. 지금은 — 들을 수 있어?,데이빗×카이,↑상승,4,,플레이리스트 질문 — 직접적 감정 탐색,카이,데이비드가 카이에게 핀리스트 질문 (복수 레코드 확인필요).,데이빗,,전환,,7021,저녁_파티중반,,스위트룸_거실_바닥,관계역학,SR_007,발화
"마를렌씨. 10년간 늦게 도착했다고 하셨잖아요. 그 10년 동안 — 가장 일찍 도착한 적이 있어요? 딱 한 번이라도, '이번엔 늦지 않았다'고 느낀 순간.",사빈×마를렌,,,,마를렌에게 '일찍 도착한 순간' 질문,마를렌,,사빈,,,,7013,,,,"관계역학, 연구/학술",SR_007,발화
"카이씨 — 그 플레이리스트가 들리는 날이 오면, 그때 자원 배분이 바뀐 거예요. / 카이: (처음으로 — 보조개 없이 웃는다. 입꼬리만 살짝.) ......그 날이 오면 나디아씨한테 알려줄게요.",나디아×카이,↑상승,4,,'들리는 날' = 자원 배분 회복의 지표 + 카이 진짜 미소,카이,나디아-카이 응답 시쿠연스 클라이맥스. 보조개 없는 웃음과 의뢰 표현.,나디아,,해소,,7023,저녁_파티중반,,스위트룸_거실_바닥,"관계역학, 심리/내면",SR_007,복합
"한 번 있어요. 3년 전. 취리히에서. 18살짜리 여자애였어요. 학교 상담사가 '이 학생이 이상한데 뭐가 이상한지 모르겠다'고 연락 줬어요. 만났더니 아무 문제 없다고 했어요. 근데 한 시간 내내 웃고 있었어요. 슬픈 이야기를 할 때도. 그게 '괜찮은 아이' 가면이었어요. 두 번째 만남에서 '웃지 않아도 돼, 진짜로 어때?' 물었더니 3초 멈추고 울기 시작했어요. 2주 일찍 도착한 거였어요.",마를렌×전원,↑상승,5,,취리히 18살 소녀 — 유일하게 일찍 도착한 순간,전원,마를렌이 취리히 18살 답변 (복수 레코드 확인필요). 2주 일싰 도착 고백.,마를렌,,폭로,,7014,저녁_파티중반,,스위트룸_거실_소파중앙,"감정고백, 연구/학술",SR_007,발화
"(위스키잔을 비우고, 처음으로 — 넥타이를 푼다. 방 안의 몇 명이 그 동작을 본다. 세바스찬이 넥타이를 푸는 건 이 방의 누구도 본 적 없다.) ......위스키 한 잔 더. 올드 패션드 두 잔 만들어. 카이 거랑 내 거.",세바스찬×레오,,,,넥타이 풂 — 이 자리 누구도 본 적 없는 장면,레오,,세바스찬,,,,7008,,,,"관계역학, 유머/일상",SR_007,복합
"......아직 못 들어요. 'For Kai When He's Coding Late'이라는 제목이었어요. 헤어진 이유가 제가 너무 코딩만 했기 때문이에요. 그 사람이 '코딩하는 당신'을 위해 만든 플레이리스트인데 — '코딩만 하는 당신'이 싫어서 떠난 거니까. 제 '엔지니어 페르소나'가 자원의 95%를 먹고 있었고, '연인 페르소나'는 5%도 안 줬어요. 지금도 그 플레이리스트는 Spotify에 있어요. 삭제를 못 해요. 듣지도 못하고 지우지도 못하는 상태.",카이×전원,↑상승,5,,코펜하겐 헤어짐 + 페르소나 자원 배분 실패 고백,전원,카이가 코폩하게만 횈 데는 엘니어 페르소나 불균형과 업섭님에도 못 지워는 연인의 핀리스트 고백.,카이,,폭로,,7022,저녁_파티중반,,스위트룸_거실_바닥,"감정고백, 심리/내면",SR_007,발화
"그래서 — 교수님의 모델이 필요한 거예요. 내가 일찍 도착한 건 운이었어요. 시스템이 있으면 운이 아니라 구조로 일찍 도착할 수 있어요. 나디아, 가면 전환 실패가 행동 데이터에서 보인다고 했잖아. 만약 앱이 있었다면 — 내가 아니라 앱이 일찍 도착했을 거예요. / 나디아: 그 한 줄을 만드는 게 — 우리 일이에요.",마를렌×나디아,,,,구조가 운을 대체 + 나디아 '그 한 줄' 확인,나디아,,마를렌,,,,7016,,,,"비즈니스, 연구/학술",SR_007,발화
"David씨. 수억 명의 데이터를 보면서 — 그 중에 한 명이라도, 숫자가 아니라 사람으로 기억나는 사람이 있어요?",마를렌×데이빗,,,,데이터 너머 사람으로 기억하는 존재 질문,데이빗,,마를렌,,,,7017,,,,"관계역학, 연구/학술",SR_007,발화
......아무도 그걸 물어본 적 없어요. 시스템 밖의 저는 — 런던에 자주 가는 서점이 있어요. Daunt Books. 에드워디안 건물에 스카이라이트가 있는. 토요일 오후에 거기 가서 아무 책이나 집어들고 2시간 동안 아무도 저를 필요로 하지 않는 시간. 그 2시간이 — 제가 가면을 벗는 시간이에요. 그래서 뭘 원하느냐고 물으면. 그 2시간이 좀 더 길었으면 좋겠어요.,사빈×베스,,,,Daunt Books 2시간 — 가면 벗는 시간 고백,베스,,사빈,,,,7012,,,,"감정고백, 심리/내면",SR_007,발화
올드 패션드. 당신한테 어울려. 달콤한데 안에 독이 있는 거.,레오×카이,,,,카이 성격을 칵테일로 정의,카이,,레오,,,,7007,,,,"관계역학, 유머/일상",SR_007,발화
......세브. 미안해. 그건 내 실수야. '이게 있으니까 내가 나머지를 할 수 있다'고 했어야 했어. 네가 바닥을 깔아주니까 우리가 그 위에서 날 수 있는 건데. 앞으로 'thorough' 안 쓸게. / 세바스찬: 다른 단어가 있으면 좋겠네요. / 베스: 'Essential.' 어때? / 세바스찬: (2초. 고개를 끄덕인다.) ......됐습니다.,베스×세바스찬,↑상승,4,,사과 + 'Essential'로 재정의 — 화해,세바스찬,세바스찬 고백에 대한 베스의 즈각리고 사와. (중복 레코드),베스,,해소,,8011,저녁_파티중반,,스위트룸_거실_라운지체어,"감정고백, 관계역학",SR_008,발화
경계에 서 있는 사람이 가장 멀리 봅니다.,세바스찬×레일라,,,,레일라 발언에 조용한 공명,레일라,,세바스찬,,,,8003,,,,관계역학,SR_008,발화
"레일라씨. 아까 베이루트 야경이 반쪽이라고 했잖아요. 어둠이 있어야 빛이 보인다고. 레일라씨는 — 빛 쪽이에요, 어둠 쪽이에요?",카이×레일라,,,,빛 vs 어둠 — 레일라의 정체성 질문,레일라,,카이,,,,8001,,,,"관계역학, 심리/내면",SR_008,발화
이자벨. 아까 '직함이라는 가면이 벗겨지고 있다'고 했잖아. 그리고 눈물을 숨기지 않았어. 이 방에서 유일하게. 이자벨은 — 원래 그래요? 아니면 오늘이 특별한 거예요?,레일라×이자벨,,,,이자벨 눈물 — 원래 vs 오늘 질문,이자벨,,레일라,,,,8004,,,,"관계역학, 심리/내면",SR_008,발화
"세브. 넥타이 풀었네. 처음 보는 건데. 세브가 가장 최근에 — '아, 나 지금 가면 쓰고 있다'고 자각한 순간이 언제야?",레오×세바스찬,,,,세바스찬의 가면 자각 순간 질문,세바스찬,,레오,,,,8009,,,,"관계역학, 심리/내면",SR_008,발화
"......그러네. (한참.) 이거 봐. CEO가 울고 있어. / 레오: 아니, Beth가 울고 있는 거야. (그 한마디에 베스가 웃는다. 눈물과 함께.)",베스×레오,,,,CEO → Beth — 레오의 한마디로 가면 완전 해제,레오,,베스,,,,8015,,,,"감정고백, 관계역학",SR_008,복합
레오 — 여기서는 그 할머니의 15초가 숫자가 안 돼. 그게 도착지야. / 레오: ......알아요. 그래서 여기 있는 거예요.,베스×레오,,,,'도착지'로 Veilrum 재정의 + 레오 수용,레오,,베스,,,,8008,,,,"관계역학, 비즈니스",SR_008,발화
"......있어요. 하나. Nike Women 캠페인. 마이애미에서. 일반인 여성 다섯 명 — 산후 우울증 엄마, 유방암 수술 후 달리기 시작한 여자, 가정폭력에서 벗어난 여자, 트랜스젠더 여성, 60대 할머니. 촬영 마지막 날 대본 없이 카메라 보고 한마디씩 했어요. 60대 할머니가 — '나는 60년 동안 내 몸이 싫었어. 근데 오늘 처음으로 내 몸이 할 수 있는 걸 봤어.' 그러고 울었어요. 그 15초가 내 커리어에서 유일하게 환상이 아니었던 순간이에요. 우리는 신발을 판 게 아니라 거울을 판 거였어요. 근데 캠페인이 끝나고 회사는 매출 보고서를 원했어요. 그 할머니의 15초가 숫자가 됐어요. 그때 지겨워지기 시작한 거예요.",레오×전원,↑상승,5,,Nike Women 할머니 15초 — 유일하게 진짜였던 순간,전원,이자벨 질문에 답하며 Nike 할머니 15초 폭로. (중복 레코드),레오,,폭로,,8007,저녁_파티중반,,스위트룸_바,"감정고백, 추억/과거",SR_008,발화
